YearMonth,CO_ppm,NO2_ppb,PM25_ugm3,Electric Vehicle (EV) Total,Percent Electric Vehicles
2023-03,0.4580645161290322,32.56774193548387,7.106451612903226,65130.0,4.71
2023-04,0.38,24.62758620689655,5.933333333333334,67471.0,4.87
2023-05,0.375,26.96190476190477,8.293548387096775,69716.0,5.02
2023-06,0.38,24.52758620689655,7.256521739130435,72219.0,5.18
2023-07,0.4052631578947368,27.276,7.553333333333333,74396.0,5.33
2023-08,0.4869565217391304,31.317241379310342,11.02258064516129,77766.0,5.57
2023-09,0.4666666666666667,29.203333333333333,7.136666666666667,79949.0,5.72
2023-10,0.5,23.83225806451613,7.693548387096774,82439.0,5.89
2023-11,0.5142857142857143,25.768965517241377,9.623333333333331,84176.0,6.02
2023-12,0.5434782608695652,26.264285714285712,7.267741935483872,86108.0,6.15
2024-01,0.4153846153846154,27.913636363636364,5.445161290322581,89127.0,6.35
