"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/19/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/20/2024","AQS","530330030","1","0.4","ppm","5","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/21/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/22/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/23/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/24/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/25/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/26/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/27/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/28/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/29/2024","AQS","530330030","1","0.3","ppm","3","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"04/30/2024","AQS","530330030","1","0.2","ppm","2","Seattle-10th & Weller","24","100.0000","42101","Carbon monoxide","593","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
