"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/23/2019","AQS","530330030","1","22.8","ppb","21","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/24/2019","AQS","530330030","1","26.5","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/25/2019","AQS","530330030","1","33.7","ppb","31","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/26/2019","AQS","530330030","1","33.1","ppb","31","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/27/2019","AQS","530330030","1","23.6","ppb","22","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/28/2019","AQS","530330030","1","26.3","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/29/2019","AQS","530330030","1","25.1","ppb","24","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"06/30/2019","AQS","530330030","1","26.7","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"07/01/2019","AQS","530330030","1","37.1","ppb","35","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"07/02/2019","AQS","530330030","1","30","ppb","28","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
